gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RBM5,2963.535886,0.061596752,0.082674529,0.74505113,0.456240811,0.712241731
MTMR7,127.3844083,0.527519361,0.183746493,2.87090845,0.00409294,0.052574108
SLC7A2,4796.203097,-0.45376744,0.302764757,-1.498745905,0.133939563,0.379474624
ARF5,7908.881698,-0.094900032,0.101450593,-0.935431023,0.349566215,0.625839011
SARM1,336.8331766,0.16820559,0.111224361,1.512308888,0.130455301,0.375134904
POLDIP2,6774.056319,-0.1497433,0.072188454,-2.074338659,0.03804787,0.19272234
PLXND1,8363.415586,0.121189791,0.139516171,0.868643328,0.385042248,0.654413958
AK2,7659.310403,0.117739099,0.085211159,1.381733334,0.167053595,0.429163039
CD38,1163.924018,0.103403576,0.213611658,0.484072716,0.628334264,0.821681744
FKBP4,9132.712997,-0.365101865,0.140891669,-2.591365893,0.009559579,0.086064524
KDM1A,4939.653958,0.023836384,0.079017949,0.301657841,0.76291291,0.893969644
RBM6,2543.393845,0.015110666,0.091434738,0.16526176,0.868737956,0.944775836
CAMKK1,573.2221196,-0.10094919,0.116543777,-0.86619116,0.38638534,0.655455162
RECQL,1549.695791,-0.280636971,0.117034901,-2.3978913,0.016489758,0.120309273
CCDC132,1209.593124,-0.05689879,0.067116463,-0.847762039,0.396570508,0.663293815
HSPB6,291.1358695,0.417833193,0.199645585,2.0928747,0.036360341,0.187666277
ARHGAP33,411.2519647,0.163564312,0.16851493,0.970622084,0.331736505,0.609319823
NDUFAB1,2807.343088,-0.134784646,0.089222266,-1.510661539,0.130874706,0.375612139
PDK4,1779.056954,-0.291353785,0.214029163,-1.361280777,0.173424975,0.437216304
SLC22A16,13.84327274,0.356294594,0.22882908,1.55703372,0.11946248,0.358092955
ZMYND10,327.2316064,1.117028482,0.256035967,4.362779558,1.28E-05,0.001137081
ABCB5,5.325946005,0.042592336,0.269854993,0.15783416,0.874587481,0.94763429
ARX,153.5468679,0.925382533,0.361684194,2.558537388,0.010511352,0.091519154
SLC25A13,1922.573458,-0.200304986,0.089410618,-2.240281872,0.025072629,0.152122344
ST7,2049.539419,0.06864472,0.101581136,0.675762473,0.499191464,0.743467977
CDC27,3517.38868,-0.214067202,0.065330883,-3.276661712,0.001050421,0.02215485
SLC4A1,5.446705021,0.532964562,0.27256723,1.955350835,0.050541675,0.225269427
CALCR,33.42354966,0.760980856,0.250803257,3.034174541,0.002411948,0.037834105
HCCS,1397.631346,-0.184333409,0.076342044,-2.414572617,0.015753682,0.116998032
DVL2,1878.396888,-0.226128982,0.08369482,-2.701827686,0.006895949,0.070466169
PRSS22,1468.570265,-0.04782313,0.175950078,-0.271799426,0.785776246,0.90678315
UPF1,6618.968698,0.015123725,0.0916367,0.165040039,0.868912467,0.944782033
SKAP2,3498.578001,-0.315388738,0.121955556,-2.586095679,0.009706998,0.086962498
SLC25A5,21400.12131,-0.242065924,0.112198235,-2.157484235,0.030967954,0.170599663
CCDC109B,1024.676321,-0.026168365,0.125127879,-0.209132967,0.83434444,0.929730474
HOXA11,51.80578625,-0.190178793,0.416661839,-0.456434393,0.648077639,0.833458097
POLR2J,2062.899656,-0.245486199,0.110313757,-2.225345291,0.026058067,0.154568904
DHX33,1276.584032,-0.07193909,0.086468456,-0.83196917,0.405426346,0.669626495
MEOX1,56.62780253,0.152131268,0.208465194,0.729768194,0.465531889,0.720495316
THSD7A,355.4365355,0.216783139,0.217480627,0.996792872,0.318865059,0.598117922
LIG3,2076.897798,-0.02283437,0.095432426,-0.239272653,0.810894169,0.919653419
RPAP3,1679.570566,-0.062893834,0.065914649,-0.954170811,0.339997187,0.617192346
ACSM3,723.7072852,0.026064766,0.201892366,0.129102285,0.897276714,0.957823332
AC004381.6,283.3184862,-0.082526087,0.107752312,-0.765886927,0.443743585,0.702228266
CIAPIN1,2671.795183,-0.12256673,0.081526806,-1.503391786,0.132738043,0.377595432
SPPL2B,1734.48659,0.113744648,0.094809717,1.199715079,0.230250015,0.507830746
FAM214B,1260.694376,-0.134927826,0.09815429,-1.37465032,0.16923988,0.432258568
COPZ2,814.0854991,-0.169014516,0.179460534,-0.941792118,0.346299082,0.622376121
PRKAR2B,719.9261704,0.160023856,0.1613447,0.991813527,0.321288498,0.600440799
MSL3,1507.785392,0.03962127,0.06377483,0.62126814,0.534423213,0.766300638
CREBBP,5620.265309,-0.033957548,0.087539318,-0.387911954,0.698081191,0.860065666
BZRAP1,622.112883,0.502592997,0.158688683,3.167163463,0.001539338,0.028264968
MPO,28.03076278,-0.516724005,0.215109548,-2.402143511,0.016299313,0.119349443
PON1,60.97483901,0.307835821,0.29372851,1.048028402,0.294625521,0.575602755
GCFC2,1075.552945,-0.059777144,0.080860708,-0.739260697,0.45974871,0.715025279
WDR54,934.2606903,0.071216991,0.127942216,0.556634025,0.577777502,0.7927382
CROT,893.5178121,0.016077378,0.126676254,0.126917063,0.899006041,0.958552395
ABCB4,78.29209022,-0.377779001,0.192858529,-1.958839998,0.050131528,0.22420164
KMT2E,4120.014097,-0.009054159,0.080034891,-0.113127655,0.909929351,0.963115868
RHBDD2,6468.990403,-0.15996897,0.088046973,-1.816859393,0.069238646,0.267612171
SOX8,51.8325534,-0.155469501,0.259210156,-0.599781675,0.548651748,0.77444729
IBTK,3254.437045,-0.16374617,0.08986228,-1.822190241,0.068426125,0.265777793
ZNF195,1076.933551,0.14314831,0.083733826,1.709563702,0.087346583,0.302919326
MYCBP2,2872.991428,0.239114735,0.103577823,2.308551474,0.020968483,0.138024228
FBXL3,2554.476588,0.14474077,0.07307652,1.980674103,0.047627833,0.21838403
ITGAL,1478.845817,0.307006576,0.159774881,1.921494633,0.054669378,0.234959817
PDK2,1161.092433,-0.09908044,0.102088857,-0.970531389,0.331781687,0.609319823
ITGA3,24846.95043,-0.487938074,0.184410639,-2.645932334,0.008146611,0.078331147
ZFX,1846.351108,0.150329917,0.086670823,1.734492785,0.082830685,0.295372765
LAMP2,12871.09218,-0.071111719,0.091046174,-0.781051152,0.43477241,0.694356778
ITGA2B,86.35943176,0.226179971,0.213925883,1.057281931,0.290382937,0.570875703
ASB4,53.43082263,-0.518805016,0.269191596,-1.927270479,0.053945931,0.233335019
GDE1,6516.448358,0.071644949,0.0868351,0.825068992,0.409332423,0.673205411
C19orf60,1007.651958,-0.166254922,0.116525706,-1.426766064,0.153647336,0.409179074
CRLF1,4108.953073,0.433812486,0.352177378,1.231801112,0.218023388,0.494251379
OSBPL7,779.7491795,-0.164937319,0.139647732,-1.181095578,0.237564756,0.516962677
TMEM98,4263.474235,0.04920833,0.150378402,0.327230037,0.743493904,0.883517957
YBX2,284.0475351,-0.5511321,0.281963652,-1.954621091,0.05062781,0.225451966
KRT33A,9.819119223,1.191937248,0.735618945,1.620318857,0.1051638,0.335640895
MAP3K14,910.0183451,0.085718756,0.118212463,0.725124519,0.468375643,0.723017242
ABCC8,36.18178025,-0.209065006,0.345989634,-0.604252226,0.545675964,0.772218913
CACNG3,0.754243794,-0.324221704,0.516348977,-0.627911972,0.530061608,0.764081229
TMEM132A,3872.363578,-0.281469086,0.161073133,-1.747461426,0.08055733,0.290762154
AP2B1,14747.76015,-0.114147194,0.089650233,-1.273250387,0.202929206,0.47729627
TAC1,4.840024832,0.073649826,0.548383205,0.134303576,0.893162526,0.956163208
ZNF263,1613.983657,-0.031978014,0.063918803,-0.500291198,0.616870051,0.814967455
CX3CL1,4695.58899,-0.111033458,0.196264932,-0.565732537,0.571575613,0.788213442
SPATA20,3416.888833,-0.138291266,0.100024581,-1.382572808,0.166795891,0.428621733
